S.NO,State,Persons,Males,Females,Persons..literate,Males..Literate,Females..Literate,Total.Educated,Primary,Middle,Matric.Higher.Secondary.Diploma,Graduate.and.Above,Total.workers
1, Andaman & Nicobar Islands,356152,192972,163180,253135,146831,106304,253135,70777,56170,55898,14903,136254
2,Andhra,71308587,36067773,35240814,37126595,21940112,15186483,37126595,11336222,3791532,8839434,2672346,32953645
3,ArunachalPradesh,1097968,579941,518027,484785,303281,181504,484785,123639,80469,96513,26047,482902
4,Assam,26655528,13777037,12878491,14015354,8188697,5826657,14015354,3189339,2575642,3159772,678887,9538591
5,Bihar,82998509,43243795,39754714,31109577,20644376,10465201,31109577,8334709,4390226,6651174,2109415,27974606
6,Chhattisgarh,20833803,10474218,10359585,11173149,6711395,4461754,11173149,2936720,1559439,1612748,576721,9679871
7,Chandigarh,900635,506938,393697,643245,382686,260559,643245,115349,90111,204402,138441,340422
8,Daman & Diu,158204,92512,65692,107600,70992,36608,107600,27208,20664,31495,6209,72791
9,Delhi,13850507,7607234,6243273,9664764,5700847,3963917,9664764,1967466,1531690,2770614,1761915,4545234
10,Dadra & Nagar Haveli,220490,121666,98824,103904,72149,31755,103904,25077,15408,28169,7896,114122
11,Goa,1347668,687248,660420,985562,541032,444530,985562,193669,159258,327415,98297,522855
12,Gujarat,50671017,26385577,24285440,29827750,17833273,11994477,29827750,8076854,4423384,7069504,1875741,21255521
13,Haryana,21144564,11363953,9780611,12093677,7480209,4613468,12093677,3226643,2018523,3191018,798689,8377466
14,Himachal Pradesh,6077900,3087940,2989960,4041621,2278386,1763235,4041621,1109971,690693,1143195,220770,2992461
15,Jharkhand,26945829,13885037,13060792,11777201,7646857,4130344,11777201,3087105,1906603,2508782,808678,10109030
16,Jammu & Kashmir,10143700,5360926,4782774,4807286,3060628,1746658,4807286,1031707,1074049,1261793,331548,3753815
17,Karnataka,52850562,26898918,25951644,30434962,17661211,12773751,27715542,7631531,3467285,7115643,2098294,23534791
18,Kerala,31841374,15468614,16372760,25485688,12753602,12732086,25485688,6055241,6034912,6735444,1443049,10283887
19,Lakshdweep,60650,31131,29519,44683,24511,20172,44683,12994,9162,6718,959,15354
20,Maharashtra,96878627,50400596,46478031,63965943,37184963,26780980,63965943,16278061,9535895,15931653,4886347,41173351
21,Manipur,2010275,1015404,994871,1230027,706544,523483,1230027,237357,288806,332979,142798,873325
22,Meghalya,2318822,1176087,1142735,1157875,614272,543603,1157875,259627,150587,184395,51642,970146
23,Mizoram,888573,459109,429464,661445,350105,311340,661445,174269,123034,83614,26419,467159
24,Madhya Pradesh,60348023,31443652,28904371,31592563,19672274,11920289,31592563,8426081,4733325,4825190,1931049,25793519
25,Nagaland,1990036,1047141,942895,1132323,640201,492122,1132323,310520,229783,272172,57511,847796
26,Orrisa,35664657,18073336,17591321,19165622,11583073,7582549,19165622,5600843,2786065,3666351,1147895,13822918
27,Pondicherry,974345,486961,487384,696367,378758,317609,696367,182684,141966,196048,68364,342655
28,Punjab,24358999,12985045,11373954,14756970,8442293,6314677,14756970,3785055,2498421,4552509,966747,9127474
29,Rajasthan,56507188,29420011,27087177,27702010,18047157,9654853,27702010,7047927,4330343,4111715,1471813,23766655
30,Sikkim,540851,288484,252367,318335,189060,129275,318335,84475,47836,54694,14348,263043
31,Tamil Nadu,62405679,31400909,31004770,40524545,22809662,17714883,40524545,11652060,6967676,9030387,2196698,27878282
32,Tripura,3199203,1642225,1556978,2022099,1150707,871392,2022099,641795,388737,215693,99850,1159561
33, Uttar Pradesh,166197921,87565369,78632552,75719284,48901413,26817871,75719284,18694554,14329834,15208830,4969397,53983824
34,Uttranchal,8489349,4325924,4163425,5105782,3008875,2096907,5105782,1275501,977893,1124639,460155,3134036
35,West Bengal ,80176197,41465985,38710212,47196401,27452426,19743975,47196401,11449999,8050643,7247795,3186374,29481690
,TOTAL,1022412392,,,,,,,,,,,
,,one billion twenty-two million four hundred twelve thousand three hundred ninety-two,,,,,,,,,,,
